iter	MultiClass
0	1.085707021
1	1.078267092
2	1.069894722
3	1.062914959
4	1.055521092
5	1.049022795
6	1.041756038
7	1.03739975
8	1.032203325
9	1.029072397
10	1.024449973
11	1.02028604
12	1.01651423
13	1.013281701
14	1.010388335
15	1.006321552
16	1.004364069
17	1.001169512
18	0.9978964744
19	0.9954313213
20	0.9936751014
21	0.9912999906
22	0.9881120965
23	0.986178486
24	0.9834668226
25	0.9809404294
26	0.9788448908
27	0.9771370815
28	0.9748153729
29	0.9725188432
30	0.9707488677
31	0.9685203477
32	0.9659909972
33	0.9642725185
34	0.9626151561
35	0.961001874
36	0.9588034774
37	0.9562831919
38	0.9542846139
39	0.9530254343
40	0.9514113434
41	0.9501062614
42	0.9481301559
43	0.9461839026
44	0.9444124444
45	0.9421201201
46	0.938788547
47	0.9357483906
48	0.9340526295
49	0.9324575847
50	0.9309209069
51	0.9299495498
52	0.926714456
53	0.924373233
54	0.9226893614
55	0.9199470032
56	0.9182266853
57	0.9162244943
58	0.9145114404
59	0.9133687608
60	0.9115470336
61	0.9089660621
62	0.9073395365
63	0.9052783698
64	0.9044228426
65	0.9028189594
66	0.9012368244
67	0.8999145121
68	0.8979829374
69	0.895113543
70	0.8929423695
71	0.8901362005
72	0.8882968968
73	0.8869651023
74	0.885327808
75	0.8834781613
76	0.8813924323
77	0.8798007619
78	0.877880799
79	0.8753279852
80	0.8739208837
81	0.8722032551
82	0.8701811947
83	0.8687883483
84	0.8668650701
85	0.8651830007
86	0.8635881946
87	0.8624468933
88	0.860794132
89	0.8594078802
90	0.85713573
91	0.8554810899
92	0.853973253
93	0.8521407014
94	0.8504846986
95	0.8485587645
96	0.8473605044
97	0.8455726295
98	0.8433095691
99	0.8422972768
100	0.8413035023
101	0.8394546176
102	0.837922439
103	0.8363914494
104	0.8341893502
105	0.8330430054
106	0.8313381789
107	0.8299242811
108	0.8285636656
109	0.8259184572
110	0.8247166423
111	0.8233800602
112	0.822586177
113	0.8201013914
114	0.8192870985
115	0.8180063059
116	0.8160801644
117	0.8148557302
118	0.8134904791
119	0.8113947321
120	0.8102186754
121	0.8091653574
122	0.8082394051
123	0.8060590909
124	0.8042107213
125	0.8023494479
126	0.8011328623
127	0.7999366952
128	0.7984476221
129	0.7962023437
130	0.7945622173
131	0.792328362
132	0.790972313
133	0.7893927475
134	0.787668245
135	0.7861668244
136	0.7850045751
137	0.7840577666
138	0.7826296797
139	0.7814942962
140	0.7799191435
141	0.7789108523
142	0.7774597776
143	0.7756959007
144	0.7744194014
145	0.772493884
146	0.7716964677
147	0.771094432
148	0.7698877053
149	0.7684365136
150	0.7663950595
151	0.7646144571
152	0.7628676369
153	0.7616533632
154	0.7599640245
155	0.7590191008
156	0.7570559708
157	0.7558766609
158	0.7546310495
159	0.7527227219
160	0.751914326
161	0.7503599455
162	0.7486836316
163	0.7466650967
164	0.7453888913
165	0.7438652038
166	0.7422943394
167	0.7406207121
168	0.7391312696
169	0.7380065767
170	0.7366557077
171	0.7352732659
172	0.7340493528
173	0.7326724248
174	0.7311398497
175	0.7298605909
176	0.7289258805
177	0.7275401987
178	0.7263563322
179	0.7252204657
180	0.72393829
181	0.722300648
182	0.7208928625
183	0.7199954313
184	0.7187729762
185	0.7177052754
186	0.716729519
187	0.7154102464
188	0.7140483707
189	0.7128514951
190	0.7108004452
191	0.7092342284
192	0.708044305
193	0.7067304369
194	0.7049352971
195	0.7041300415
196	0.7023428677
197	0.7012394295
198	0.7000070184
199	0.6988128251
200	0.697507748
201	0.6966275904
202	0.6952328597
203	0.694462166
204	0.6932302141
205	0.6918736998
206	0.6906470866
207	0.6896281342
208	0.6887006887
209	0.6874812327
210	0.6866861533
211	0.6852390164
212	0.6847356827
213	0.6832498316
214	0.6821782115
215	0.6807622545
216	0.679760172
217	0.6785713995
218	0.6775872203
219	0.676243217
220	0.6749875934
221	0.6741985851
222	0.6731725418
223	0.6721526902
224	0.6712198425
225	0.6696549857
226	0.6686799557
227	0.6672815242
228	0.6668160487
229	0.6659748913
230	0.6649434679
231	0.6640107118
232	0.6632838779
233	0.6620587661
234	0.6613442132
235	0.6599757455
236	0.6589101899
237	0.6582434094
238	0.6572337203
239	0.6566531573
240	0.6556959465
241	0.6545899083
242	0.6536014979
243	0.6527467755
244	0.6518098038
245	0.6511734769
246	0.650007173
247	0.6488347645
248	0.6480389268
249	0.6471954098
250	0.6460617461
251	0.6451399863
252	0.6435667795
253	0.6431669401
254	0.6422563869
255	0.6412760462
256	0.639916192
257	0.6392755437
258	0.6387644538
259	0.6381061717
260	0.6369323229
261	0.6360391032
262	0.6352472016
263	0.6344428533
264	0.6334703734
265	0.6326210311
266	0.6317781901
267	0.6309918058
268	0.6301372086
269	0.6290229869
270	0.6282276026
271	0.6275108353
272	0.6269396988
273	0.6257558172
274	0.6244425499
275	0.6235817885
276	0.6229651545
277	0.6216573195
278	0.6206714555
279	0.620103455
280	0.6195028736
281	0.6184371926
282	0.6175306052
283	0.6163188551
284	0.615385006
285	0.6145828116
286	0.613740724
287	0.6132074845
288	0.6118003073
289	0.6111336169
290	0.610272549
291	0.6091481564
292	0.6083805351
293	0.6075741069
294	0.6066667544
295	0.6059219042
296	0.605395504
297	0.6048199392
298	0.6038087072
299	0.6033128281
300	0.6022503647
301	0.6015047342
302	0.6005897649
303	0.5995262684
304	0.5988761145
305	0.598127496
306	0.5970255954
307	0.5959946971
308	0.5946785773
309	0.593606961
310	0.5923377201
311	0.5913649683
312	0.5905399077
313	0.5896608115
314	0.5889959866
315	0.5882506874
316	0.5874562497
317	0.5870116426
318	0.5865707788
319	0.5859499711
320	0.5847735288
321	0.5840823582
322	0.5836404855
323	0.5829508031
324	0.5819923238
325	0.5809180911
326	0.5797767119
327	0.5790326646
328	0.5782516398
329	0.5773579462
330	0.5767606031
331	0.5761281141
332	0.5752644473
333	0.5743437428
334	0.5731153627
335	0.5727019318
336	0.5720806018
337	0.5711135859
338	0.5703023885
339	0.5696193495
340	0.5690797928
341	0.567948989
342	0.5672077131
343	0.5663671929
344	0.5653773613
345	0.5646232009
346	0.5635427436
347	0.5623817006
348	0.5614010013
349	0.5603605077
350	0.5597705712
351	0.5590062525
352	0.5584575356
353	0.5580916371
354	0.5568284978
355	0.5552912197
356	0.5544463429
357	0.5537237017
358	0.5528598065
359	0.5526310864
360	0.551684817
361	0.5507198511
362	0.5500471707
363	0.5496076676
364	0.5491344485
365	0.5483698208
366	0.5475708092
367	0.5465557471
368	0.5460607926
369	0.5451226755
370	0.5444709543
371	0.5440677567
372	0.5435412136
373	0.542749594
374	0.5419423552
375	0.5414908241
376	0.5403760832
377	0.5390319433
378	0.5380401968
379	0.5370087989
380	0.5363276547
381	0.5353009601
382	0.5346167282
383	0.5337989203
384	0.533319081
385	0.5326203732
386	0.5320055811
387	0.5309739315
388	0.5300576514
389	0.5293299545
390	0.5282674493
391	0.5276713699
392	0.5268957624
393	0.5261129362
394	0.5250955308
395	0.5244424608
396	0.5238191659
397	0.5229775008
398	0.5223985846
399	0.521603566
400	0.5212943795
401	0.5206443664
402	0.5199896922
403	0.519208887
404	0.5184876473
405	0.5178131898
406	0.5173226081
407	0.5167808479
408	0.5156738216
409	0.5148297832
410	0.5139391138
411	0.5127383235
412	0.5122738674
413	0.5115889757
414	0.5109547302
415	0.5103310863
416	0.5093984982
417	0.5087426414
418	0.5080197222
419	0.5074480851
420	0.5068524654
421	0.5063112419
422	0.5057898755
423	0.5051857855
424	0.5041872074
425	0.5034373341
426	0.5025443107
427	0.5018420717
428	0.5012623431
429	0.5008373497
430	0.4999859793
431	0.4994310577
432	0.4990029602
433	0.498348761
434	0.4974928034
435	0.4969224493
436	0.4958861471
437	0.4952460456
438	0.4947345312
439	0.4944060094
440	0.4938329872
441	0.493289693
442	0.4924070011
443	0.4917134944
444	0.4907645851
445	0.4898209845
446	0.4887362628
447	0.4880414218
448	0.4875713083
449	0.4870564683
450	0.4865468045
451	0.4858039958
452	0.4853391533
453	0.4847523486
454	0.4840158722
455	0.483677027
456	0.4831680085
457	0.4827959641
458	0.4822858269
459	0.4816018698
460	0.481086998
461	0.4804915987
462	0.4797302865
463	0.4790779045
464	0.4783475964
465	0.4777485795
466	0.4770237383
467	0.4763480354
468	0.4758597741
469	0.475225501
470	0.4747381953
471	0.4741846828
472	0.4733591707
473	0.472694335
474	0.4719620075
475	0.471417267
476	0.470985638
477	0.4705037387
478	0.4699688825
479	0.4694844024
480	0.4689379909
481	0.4681123135
482	0.4677812898
483	0.4669055443
484	0.4661595875
485	0.4656248647
486	0.4649103274
487	0.4645013365
488	0.4638090563
489	0.463281217
490	0.4629222437
491	0.4621198408
492	0.4615702351
493	0.4609906248
494	0.4602649668
495	0.4593478235
496	0.4587581138
497	0.4581460768
498	0.457696734
499	0.4571469702
500	0.4565467528
501	0.4560719148
502	0.4553750926
503	0.4549391815
504	0.4545736438
505	0.4538505101
506	0.4532571281
507	0.4527055387
508	0.4518128379
509	0.4510610308
510	0.4504923629
511	0.450122735
512	0.4494631348
513	0.4491276105
514	0.448479665
515	0.4480425691
516	0.4472364967
517	0.4464894922
518	0.4458984362
519	0.445283327
520	0.4445558402
521	0.4439917068
522	0.4436327553
523	0.4430626598
524	0.4421602856
525	0.4416851377
526	0.4414554888
527	0.4407918046
528	0.4402594931
529	0.4392339425
530	0.4388303016
531	0.4379700421
532	0.437258308
533	0.436713721
534	0.4361788997
535	0.4354460188
536	0.4349474953
537	0.4346298334
538	0.4340948834
539	0.4336313282
540	0.4332815645
541	0.4328195253
542	0.4322928985
543	0.4315560918
544	0.4312045479
545	0.4307012449
546	0.4300853473
547	0.4296353154
548	0.4287367165
549	0.4280988313
550	0.4275571917
551	0.4269298139
552	0.4265379282
553	0.4260902053
554	0.4256384333
555	0.4250052288
556	0.4244945468
557	0.4240516256
558	0.4236074829
559	0.4229766704
560	0.4223726823
561	0.4218625186
562	0.4213968849
563	0.421117785
564	0.4203180568
565	0.4198514536
566	0.4191418354
567	0.4189463675
568	0.4185527808
569	0.417850701
570	0.4174188836
571	0.4169671543
572	0.4164213677
573	0.4158859631
574	0.415239698
575	0.4147515093
576	0.4140663164
577	0.4136896863
578	0.4132601883
579	0.412654928
580	0.412205563
581	0.4119687611
582	0.4114009611
583	0.4109641394
584	0.410574267
585	0.4101475002
586	0.40948999
587	0.4087706259
588	0.4080558378
589	0.4076145053
590	0.4068781878
591	0.4064368272
592	0.406046637
593	0.4053887174
594	0.4049151388
595	0.4047422826
596	0.4039421718
597	0.4034019136
598	0.4029035201
599	0.4024355072
600	0.4018581398
601	0.4014917493
602	0.4004382583
603	0.3999224041
604	0.3992880091
605	0.3986930391
606	0.398286672
607	0.3979041805
608	0.3975727168
609	0.3969949064
610	0.3964937885
611	0.3961227613
612	0.3958025992
613	0.3954377708
614	0.3951981299
615	0.3948016897
616	0.3942141139
617	0.3937734267
618	0.393495732
619	0.3931940621
620	0.3927958185
621	0.3924203803
622	0.3920774167
623	0.3914697217
624	0.3908986051
625	0.3905749648
626	0.3902794019
627	0.389836035
628	0.3894034996
629	0.388923381
630	0.3885915856
631	0.3882327984
632	0.3877672211
633	0.3872404933
634	0.3868639696
635	0.3863004831
636	0.3856110726
637	0.3850731948
638	0.3848083939
639	0.3842698026
640	0.3837422927
641	0.3833073866
642	0.3830260178
643	0.3827021358
644	0.3822519333
645	0.3817158479
646	0.3813945637
647	0.3809836541
648	0.3804331732
649	0.3800238064
650	0.3795754784
651	0.3790498376
652	0.3787629873
653	0.3782747902
654	0.3778495443
655	0.3774550584
656	0.3771144973
657	0.3765238472
658	0.3763609625
659	0.3757737808
660	0.375197601
661	0.3747143474
662	0.3741372602
663	0.373525882
664	0.3732361142
665	0.3728891595
666	0.3726679298
667	0.3724654957
668	0.3722300587
669	0.3715818869
670	0.3713845519
671	0.3709855517
672	0.3707120191
673	0.3702562777
674	0.369924978
675	0.3696075366
676	0.3691153278
677	0.3686510314
678	0.3684207387
679	0.3680100718
680	0.3676367308
681	0.3672565767
682	0.366894252
683	0.3664311553
684	0.3660327513
685	0.3654643716
686	0.3651582346
687	0.3648002265
688	0.3641530539
689	0.3637228967
690	0.3632193732
691	0.3627840664
692	0.3621872636
693	0.3617339208
694	0.3613335177
695	0.3610030508
696	0.3606338115
697	0.3603103953
698	0.35996915
699	0.359642226
700	0.359086156
701	0.358669978
702	0.3582873525
703	0.3579075695
704	0.3574500723
705	0.3572108109
706	0.3568629661
707	0.3563750461
708	0.3559260719
709	0.3556898301
710	0.3554616168
711	0.3550236609
712	0.3545761144
713	0.3543181877
714	0.3541148948
715	0.3538191239
716	0.3535413715
717	0.3531328391
718	0.352587794
719	0.3523154356
720	0.3518546941
721	0.3515873608
722	0.3512629408
723	0.3510235992
724	0.3506109481
725	0.3499751018
726	0.3494008576
727	0.3489305648
728	0.3486461739
729	0.3484887609
730	0.3479260308
731	0.3475938978
732	0.3471204195
733	0.3467429892
734	0.3463463587
735	0.3460742274
736	0.3455419499
737	0.3450193211
738	0.3446781157
739	0.3444149348
740	0.3439888141
741	0.3435859315
742	0.3431682159
743	0.342819517
744	0.342623076
745	0.3422962094
746	0.3418676198
747	0.341252825
748	0.340810783
749	0.3405578215
750	0.3399950096
751	0.3398152444
752	0.339320412
753	0.339016977
754	0.3385680902
755	0.338169892
756	0.3379987367
757	0.3375851253
758	0.3373162755
759	0.3368892131
760	0.3363119935
761	0.3360384501
762	0.335778258
763	0.3354447157
764	0.3350760396
765	0.3347921094
766	0.3345615734
767	0.3341885622
768	0.3338538523
769	0.3333989311
770	0.3330753936
771	0.3328454875
772	0.3325731938
773	0.3322703159
774	0.3319342929
775	0.3317128195
776	0.3314164221
777	0.3308489976
778	0.330557098
779	0.3304076643
780	0.3300653707
781	0.3295579637
782	0.3291522505
783	0.3287654243
784	0.3285641875
785	0.3283653392
786	0.3277333739
787	0.3274737381
788	0.3272812673
789	0.3268902749
790	0.3263991817
791	0.3260066158
792	0.3255672038
793	0.3251808874
794	0.3247413692
795	0.3245045958
796	0.324318227
797	0.3239127094
798	0.3237735569
799	0.3232328338
800	0.3229670091
801	0.3227091363
802	0.3223270663
803	0.321949151
804	0.3215731092
805	0.3211864465
806	0.3209045211
807	0.3205842701
808	0.3202034275
809	0.3200122766
810	0.3196680146
811	0.3192621454
812	0.3190016478
813	0.3184943821
814	0.318294975
815	0.3179419155
816	0.3176178706
817	0.3172643597
818	0.3168262422
819	0.3164371229
820	0.3159818458
821	0.3155554019
822	0.3153144847
823	0.3149695148
824	0.3146036221
825	0.3142603529
826	0.3139136818
827	0.3137983422
828	0.3134484623
829	0.3132417507
830	0.3128998674
831	0.3126365932
832	0.3121268866
833	0.3117763377
834	0.3115115453
835	0.3112893084
836	0.3110009205
837	0.3106645156
838	0.310340219
839	0.3100656539
840	0.3096329273
841	0.3092747157
842	0.3089681594
843	0.3086006154
844	0.3083627016
845	0.3079454216
846	0.3076999087
847	0.3074457679
848	0.3072869925
849	0.3068455911
850	0.3065028029
851	0.3061485666
852	0.3059808185
853	0.3057366343
854	0.3054460087
855	0.3052182598
856	0.304911808
857	0.3045037485
858	0.3042004938
859	0.3038967953
860	0.3036848323
861	0.3034215394
862	0.3030694198
863	0.3027148467
864	0.3023747954
865	0.3021888057
866	0.3018494082
867	0.3016639048
868	0.3013762947
869	0.300999213
870	0.300647717
871	0.3002451531
872	0.2999615679
873	0.2995648961
874	0.2993165727
875	0.2991406042
876	0.2988936172
877	0.2986038296
878	0.2984009409
879	0.2981596245
880	0.2978449315
881	0.2973874353
882	0.2971880989
883	0.2969322128
884	0.2964469852
885	0.2959652689
886	0.2956546303
887	0.2954923837
888	0.2951817114
889	0.2948147247
890	0.2946120735
891	0.2942641522
892	0.2940030362
893	0.2936794248
894	0.2934866746
895	0.2930006732
896	0.2928110991
897	0.2925311027
898	0.2922580171
899	0.2920141009
900	0.2916696518
901	0.2913933935
902	0.2911051463
903	0.2907652709
904	0.2904997871
905	0.2903810389
906	0.2899218799
907	0.2896434714
908	0.28942904
909	0.2891320975
910	0.2888078445
911	0.2885300922
912	0.2882918956
913	0.2878881394
914	0.2875940597
915	0.2874703005
916	0.2871603669
917	0.2868454748
918	0.2866409663
919	0.2863883095
920	0.2860949042
921	0.285804776
