iter	Passed	Remaining
0	14	14002
1	25	12934
2	42	13973
3	54	13535
4	66	13238
5	160	26644
6	174	24768
7	185	23038
8	200	22116
9	212	21021
10	224	20229
11	236	19496
12	253	19230
13	265	18687
14	337	22190
15	373	22944
16	388	22453
17	417	22757
18	429	22185
19	441	21635
20	452	21109
21	493	21935
22	513	21824
23	520	21154
24	526	20537
25	534	20008
26	540	19491
27	547	19014
28	554	18570
29	561	18160
30	568	17780
31	577	17464
32	583	17106
33	590	16777
34	597	16467
35	604	16175
36	612	15939
37	619	15679
38	626	15434
39	633	15210
40	640	14991
41	648	14781
42	720	16032
43	732	15918
44	746	15845
45	758	15734
46	773	15679
47	789	15664
48	801	15564
49	813	15457
50	825	15368
51	831	15163
52	838	14976
53	843	14783
54	851	14638
55	866	14600
56	877	14515
57	885	14389
58	896	14293
59	903	14148
60	916	14105
61	923	13977
62	931	13848
63	939	13733
64	946	13611
65	953	13498
66	960	13380
67	967	13266
68	978	13200
69	986	13099
70	993	12999
71	1000	12894
72	1008	12807
73	1014	12695
74	1020	12584
75	1025	12472
76	1031	12363
77	1038	12271
78	1043	12168
79	1048	12061
80	1098	12457
81	1104	12366
82	1112	12296
83	1120	12219
84	1128	12147
85	1135	12067
86	1143	11996
87	1150	11923
88	1157	11846
89	1164	11774
90	1172	11715
91	1179	11644
92	1191	11621
93	1203	11603
94	1216	11589
95	1228	11572
96	1241	11561
97	1255	11552
98	1266	11528
99	1280	11527
100	1292	11507
101	1304	11484
102	1316	11463
103	1329	11451
104	1407	12001
105	1419	11972
106	1470	12270
107	1477	12201
108	1507	12319
109	1516	12266
110	1522	12190
111	1529	12124
112	1539	12085
113	1547	12023
114	1555	11967
115	1562	11905
116	1569	11844
117	1576	11781
118	1583	11720
119	1589	11655
120	1596	11594
121	1603	11543
122	1611	11488
123	1617	11428
124	1625	11380
125	1634	11341
126	1647	11323
127	1661	11315
128	1673	11298
129	1685	11280
130	1694	11243
131	1703	11199
132	1711	11158
133	1718	11102
134	1724	11050
135	1730	10994
136	1735	10935
137	1746	10912
138	1758	10892
139	1771	10879
140	1835	11180
141	1868	11288
142	1875	11239
143	1883	11198
144	1888	11138
145	1900	11115
146	1911	11094
147	1921	11058
148	1927	11010
149	1937	10979
150	1949	10959
151	1962	10948
152	1971	10916
153	1978	10870
154	1986	10829
155	1992	10779
156	1999	10737
157	2007	10699
158	2015	10658
159	2022	10618
160	2029	10577
161	2037	10539
162	2044	10498
163	2051	10459
164	2058	10418
165	2066	10384
166	2074	10347
167	2082	10312
168	2089	10275
169	2096	10235
170	2103	10197
171	2110	10159
172	2117	10124
173	2125	10091
174	2132	10052
175	2139	10018
176	2146	9979
177	2155	9952
178	2167	9942
179	2178	9925
180	2217	10035
181	2230	10023
182	2241	10009
183	2252	9991
184	2266	9985
185	2278	9971
186	2290	9957
187	2303	9947
188	2313	9928
189	2319	9889
190	2403	10179
191	2409	10141
192	2416	10102
193	2423	10069
194	2431	10037
195	2438	10003
196	2446	9970
197	2452	9935
198	2459	9898
199	2466	9865
200	2473	9832
201	2480	9799
202	2487	9766
203	2495	9735
204	2501	9701
205	2509	9671
206	2515	9638
207	2523	9606
208	2534	9592
209	2546	9578
210	2558	9566
211	2569	9551
212	2581	9539
213	2595	9533
214	2676	9773
215	2690	9766
216	2702	9751
217	2714	9737
218	2727	9727
219	2736	9700
220	2742	9665
221	2748	9630
222	2757	9607
223	2762	9569
224	2773	9553
225	2784	9537
226	2795	9519
227	2805	9499
228	2813	9473
229	2821	9444
230	2827	9414
231	2835	9385
232	2842	9356
233	2849	9328
234	2857	9300
235	2865	9276
236	2873	9249
237	2891	9258
238	2900	9235
239	2905	9200
240	2913	9175
241	2925	9163
242	2938	9153
243	2950	9140
244	2962	9129
245	2973	9114
246	2985	9102
247	3003	9107
248	3010	9079
249	3017	9052
250	3024	9026
251	3032	9000
252	3045	8992
253	3053	8969
254	3061	8944
255	3068	8918
256	3076	8893
257	3083	8868
258	3091	8844
259	3099	8821
260	3107	8797
261	3113	8770
262	3120	8744
263	3128	8720
264	3136	8698
265	3143	8674
266	3154	8661
267	3166	8648
268	3182	8648
269	3248	8782
270	3260	8769
271	3268	8748
272	3274	8720
273	3280	8693
274	3286	8663
275	3292	8636
276	3299	8610
277	3313	8604
278	3325	8594
279	3339	8586
280	3353	8579
281	3365	8568
282	3377	8557
283	3389	8544
284	3401	8533
285	3413	8520
286	3424	8508
287	3441	8507
288	3453	8496
289	3465	8484
290	3482	8484
291	3488	8458
292	3493	8429
293	3498	8401
294	3509	8387
295	3521	8375
296	3534	8365
297	3548	8358
298	3559	8345
299	3572	8336
300	3585	8327
301	3598	8316
302	3610	8305
303	3621	8292
304	3683	8393
305	3689	8368
306	3695	8342
